Unicode,Image,X,Y,Block ID,Char ID,Width,Height
U+56FD,100249371_00002_1,1416,518,B0001,C0001,160,204
U+83EF,100249371_00002_1,1399,775,B0001,C0002,179,277
U+5C71,100249371_00002_1,1423,1104,B0001,C0003,132,162
U+4EBA,100249371_00002_1,1372,1316,B0001,C0004,230,186
U+8457,100249371_00002_1,1396,1528,B0001,C0005,178,222
U+9F0E,100249371_00002_1,735,440,B0001,C0006,412,542
U+5DE6,100249371_00002_1,743,951,B0001,C0007,378,399
U+79D8,100249371_00002_1,731,1394,B0001,C0008,429,385
U+9332,100249371_00002_1,709,1779,B0001,C0009,454,416
U+5E76,100249371_00002_1,1043,2206,B0001,C0010,117,132
U+9644,100249371_00002_1,846,2250,B0001,C0011,173,162
U+9332,100249371_00002_1,819,2412,B0001,C0012,222,154
U+5E1D,100249371_00002_1,317,647,B0001,C0013,168,213
U+90FD,100249371_00002_1,317,860,B0001,C0014,155,161
U+66F8,100249371_00002_1,329,1029,B0001,C0015,151,167
U+8086,100249371_00002_1,320,1211,B0001,C0016,174,207
U+5C1A,100249371_00002_1,346,1524,B0001,C0017,146,190
U+66F8,100249371_00002_1,330,1772,B0001,C0018,166,189
U+5802,100249371_00002_1,337,2029,B0001,C0019,166,181
U+6893,100249371_00002_1,346,2259,B0001,C0020,171,214
U+5E8F,100249371_00002_2,1537,365,B0001,C0001,121,204
U+4ECA,100249371_00002_2,1346,357,B0001,C0002,119,189
U+822C,100249371_00002_2,1340,545,B0001,C0003,140,126
U+4F59,100249371_00002_2,1391,679,B0001,C0004,75,132
U+304B,100249371_00002_2,1413,815,B0001,C0005,39,46
U+8FF0,100249371_00002_2,1350,877,B0001,C0006,136,132
U+308B,100249371_00002_2,1397,1009,B0001,C0007,43,94
U+6240,100249371_00002_2,1364,1103,B0001,C0008,110,91
U+306E,100249371_00002_2,1384,1211,B0001,C0009,68,60
U+9F0E,100249371_00002_2,1367,1280,B0001,C0010,91,156
U+5DE6,100249371_00002_2,1360,1442,B0001,C0011,103,119
U+79D8,100249371_00002_2,1350,1562,B0001,C0012,136,108
U+9332,100249371_00002_2,1358,1687,B0001,C0013,121,133
U+306A,100249371_00002_2,1379,1828,B0001,C0014,84,93
U+308B,100249371_00002_2,1408,1921,B0001,C0015,44,68
U+3082,100249371_00002_2,1407,1989,B0001,C0016,40,90
U+306E,100249371_00002_2,1375,2079,B0001,C0017,103,100
U+306F,100249371_00002_2,1393,2188,B0001,C0018,63,47
U+4F59,100249371_00002_2,1402,2232,B0001,C0019,71,102
U+304B,100249371_00002_2,1418,2336,B0001,C0020,41,35
U+5F31,100249371_00002_2,1368,2392,B0001,C0021,110,106
U+51A0,100249371_00002_2,1376,2507,B0001,C0022,110,113
U+306E,100249371_00002_2,1404,2646,B0001,C0023,56,47
U+3068,100249371_00002_2,1207,360,B0001,C0024,32,99
U+304D,100249371_00002_2,1189,459,B0001,C0025,48,137
U+5BB6,100249371_00002_2,1179,603,B0001,C0026,86,139
U+7236,100249371_00002_2,1170,745,B0001,C0027,94,114
U+306E,100249371_00002_2,1190,870,B0001,C0028,70,62
U+547D,100249371_00002_2,1178,938,B0001,C0029,84,155
U+3092,100249371_00002_2,1187,1093,B0001,C0030,75,69
U+5949,100249371_00002_2,1162,1173,B0001,C0031,101,144
U+3057,100249371_00002_2,1216,1319,B0001,C0032,16,115
U+56DB,100249371_00002_2,1168,1439,B0001,C0033,99,68
U+65B9,100249371_00002_2,1183,1507,B0001,C0034,66,141
U+306B,100249371_00002_2,1173,1662,B0001,C0035,95,76
U+6F2B,100249371_00002_2,1174,1739,B0001,C0036,118,144
U+904A,100249371_00002_2,1191,1883,B0001,C0037,84,126
U+305B,100249371_00002_2,1199,2024,B0001,C0038,72,76
U+3057,100249371_00002_2,1238,2100,B0001,C0039,16,62
U+3068,100249371_00002_2,1221,2166,B0001,C0040,38,73
U+304D,100249371_00002_2,1213,2239,B0001,C0041,53,110
U+897F,100249371_00002_2,1183,2368,B0001,C0042,111,84
U+5DDE,100249371_00002_2,1193,2452,B0001,C0043,93,124
U+306E,100249371_00002_2,1207,2595,B0001,C0044,71,88
U+7570,100249371_00002_2,1012,355,B0001,C0045,67,151
U+4EBA,100249371_00002_2,963,513,B0001,C0046,135,124
U+9577,100249371_00002_2,993,630,B0001,C0047,108,133
U+6C0F,100249371_00002_2,1000,783,B0001,C0048,105,115
U+306A,100249371_00002_2,1010,896,B0001,C0049,79,96
U+308B,100249371_00002_2,1032,992,B0001,C0050,38,78
U+3082,100249371_00002_2,1028,1071,B0001,C0051,43,105
U+306E,100249371_00002_2,1005,1177,B0001,C0052,72,75
U+3088,100249371_00002_2,1036,1260,B0001,C0053,31,56
U+308A,100249371_00002_2,1030,1316,B0001,C0054,45,94
U+4F1D,100249371_00002_2,989,1404,B0001,C0055,108,116
U+308B,100249371_00002_2,1024,1516,B0001,C0056,47,82
U+6240,100249371_00002_2,997,1598,B0001,C0057,101,93
U+306E,100249371_00002_2,1010,1713,B0001,C0058,78,85
U+9752,100249371_00002_2,1014,1798,B0001,C0059,68,147
U+7269,100249371_00002_2,993,1945,B0001,C0060,109,90
U+7802,100249371_00002_2,1002,2052,B0001,C0061,103,77
U+7CD6,100249371_00002_2,999,2129,B0001,C0062,106,133
U+6F2C,100249371_00002_2,1002,2268,B0001,C0063,95,132
U+306E,100249371_00002_2,1013,2413,B0001,C0064,59,62
U+4F1D,100249371_00002_2,994,2476,B0001,C0065,102,98
U+66F8,100249371_00002_2,1011,2574,B0001,C0066,74,99
U+306B,100249371_00002_2,803,361,B0001,C0067,96,89
U+3057,100249371_00002_2,841,458,B0001,C0068,24,119
U+3066,100249371_00002_2,832,579,B0001,C0069,33,131
U+98A8,100249371_00002_2,797,728,B0001,C0070,108,124
U+6D41,100249371_00002_2,795,852,B0001,C0071,124,119
U+55AB,100249371_00002_2,787,987,B0001,C0072,123,162
U+8336,100249371_00002_2,811,1143,B0001,C0073,101,128
U+306E,100249371_00002_2,828,1289,B0001,C0074,67,56
U+5BA2,100249371_00002_2,817,1347,B0001,C0075,79,154
U+5EA7,100249371_00002_2,813,1508,B0001,C0076,98,145
U+53F3,100249371_00002_2,816,1653,B0001,C0077,90,102
U+4E00,100249371_00002_2,812,1782,B0001,C0078,96,23
U+65E5,100249371_00002_2,827,1829,B0001,C0079,65,70
U+3082,100249371_00002_2,841,1900,B0001,C0080,50,103
U+6B20,100249371_00002_2,833,2018,B0001,C0081,65,110
U+3078,100249371_00002_2,822,2128,B0001,C0082,89,121
U+304B,100249371_00002_2,860,2272,B0001,C0083,31,90
U+3089,100249371_00002_2,856,2362,B0001,C0084,31,101
U+3055,100249371_00002_2,844,2484,B0001,C0085,43,99
U+308B,100249371_00002_2,841,2583,B0001,C0086,46,84
U+73CD,100249371_00002_2,612,368,B0001,C0087,96,122
U+66F8,100249371_00002_2,610,491,B0001,C0088,82,168
U+306A,100249371_00002_2,619,676,B0001,C0089,66,118
U+308A,100249371_00002_2,635,794,B0001,C0090,46,94
U+6B64,100249371_00002_2,603,899,B0001,C0091,99,108
U+66F8,100249371_00002_2,595,998,B0001,C0092,97,182
U+4E00,100249371_00002_2,612,1210,B0001,C0093,88,25
U+672C,100249371_00002_2,613,1248,B0001,C0094,92,164
U+3092,100249371_00002_2,620,1412,B0001,C0095,80,81
U+61D0,100249371_00002_2,614,1500,B0001,C0096,104,141
U+4E2D,100249371_00002_2,625,1637,B0001,C0097,89,138
U+3059,100249371_00002_2,646,1775,B0001,C0098,57,99
U+308C,100249371_00002_2,636,1874,B0001,C0099,63,112
U+306F,100249371_00002_2,633,1986,B0001,C0100,74,50
U+5F8C,100249371_00002_2,624,2054,B0001,C0101,86,129
U+5712,100249371_00002_2,633,2183,B0001,C0102,77,170
U+306B,100249371_00002_2,659,2354,B0001,C0103,35,59
U+6709,100249371_00002_2,645,2420,B0001,C0104,55,116
U+5408,100249371_00002_2,611,2542,B0001,C0105,96,140
U+677E,100249371_00002_2,434,367,B0001,C0106,74,178
U+306E,100249371_00002_2,427,572,B0001,C0107,88,103
U+307F,100249371_00002_2,447,686,B0001,C0108,41,92
U+3068,100249371_00002_2,458,778,B0001,C0109,30,84
U+308A,100249371_00002_2,448,862,B0001,C0110,46,102
U+3042,100249371_00002_2,423,981,B0001,C0111,102,83
U+308B,100249371_00002_2,456,1064,B0001,C0112,44,79
U+3072,100249371_00002_2,441,1143,B0001,C0113,75,113
U+306F,100249371_00002_2,446,1275,B0001,C0114,66,45
U+5C0F,100249371_00002_2,428,1339,B0001,C0115,97,98
U+6C60,100249371_00002_2,435,1437,B0001,C0116,107,125
U+306B,100249371_00002_2,442,1563,B0001,C0117,81,73
U+751F,100249371_00002_2,448,1657,B0001,C0118,55,109
U+3057,100249371_00002_2,477,1766,B0001,C0119,18,79
U+305F,100249371_00002_2,467,1845,B0001,C0120,42,98
U+308B,100249371_00002_2,468,1943,B0001,C0121,37,65
U+84EE,100249371_00002_2,426,2031,B0001,C0122,105,145
U+306E,100249371_00002_2,448,2208,B0001,C0123,71,94
U+6839,100249371_00002_2,434,2304,B0001,C0124,113,106
U+306A,100249371_00002_2,455,2444,B0001,C0125,72,116
U+3068,100249371_00002_2,470,2560,B0001,C0126,35,111
U+307B,100249371_00002_2,241,377,B0001,C0127,93,90
U+308A,100249371_00002_2,263,472,B0001,C0128,44,66
